title,content,Category
GIỖ CHA,"Năm nay giỗ Tổ Vua Hùng
Cũng ngày kỷ niệm Cha Hùng quyên thân
Vì quê hương chẳng ngại ngần
Máu đào tuôn đổ vì dân quên mình
Mong rằng đất nước hồi sinh 
Thóat vòng khổ nạn điêu linh khốn cùng
Nên Cha chỉ nghĩ chuyện chung
Việc nhà đã có Mẹ cùng gánh vai
Giúp Cha vững bước đường dài
Trên đường thiên lý miệt mài góp công
Nhưng rồi một sớm tươi hồng
Bóng Cha ngã đổ xuống dòng máu tươi
Làm cho con bặt tiếng cười 
Người thân chết lặng mây trời xám đen
Bởi lòng của kẻ đê hèn
Dã tâm phản trắc để đèn lụi tăm
Nhưng Cha như ánh trăng rằm
Vẫn luôn sáng tỏ quanh năm đầu làng
Cho con thấy ánh hồng quang
Vững chân con bước trên đàng con đi
Bao năm con vẫn khắc ghi
Bóng hình giọng nói thầm thì của Cha
Làm con nước Việt thật thà
Vì dân nước Việt hãy ra sức mình
Một tay cức giúp sinh linh
Dựng xây đất Mẹ phồn vinh đời đời
Nhớ Cha lệ nhỏ tuôn rơi
Nén nhang con thắp ở nơi xa này
Một dâng cúng Tổ hôm nay
Hai cho công đức cao dày của Cha
Ba cho hồn của quốc gia
Lòng thành khấn nguyện nước nhàAn Khang
 
Trúc Quỳnh
2242007
Viết thay 7_vdn
Năm nay giỗ Tổ Vua Hùng
Cũng ngày kỷ niệm Cha Hùng quyên thân
Vì quê hương chẳng ngại ngần
Máu đào tuôn đổ vì dân quên mình
Mong rằng đất nước hồi sinh 
Thóat vòng khổ nạn điêu linh khốn cùng
Nên Cha chỉ nghĩ chuyện chung
Việc nhà đã có Mẹ cùng gánh vai
Giúp Cha vững bước đường dài
Trên đường thiên lý miệt mài góp công
Nhưng rồi một sớm tươi hồng
Bóng Cha ngã đổ xuống dòng máu tươi
Làm cho con bặt tiếng cười 
Người thân chết lặng mây trời xám đen
Bởi lòng của kẻ đê hèn
Dã tâm phản trắc để đèn lụi tăm
Nhưng Cha như ánh trăng rằm
Vẫn luôn sáng tỏ quanh năm đầu làng
Cho con thấy ánh hồng quang
Vững chân con bước trên đàng con đi
Bao năm con vẫn khắc ghi
Bóng hình giọng nói thầm thì của Cha
Làm con nước Việt thật thà
Vì dân nước Việt hãy ra sức mình
Một tay cức giúp sinh linh
Dựng xây đất Mẹ phồn vinh đời đời
Nhớ Cha lệ nhỏ tuôn rơi
Nén nhang con thắp ở nơi xa này
Một dâng cúng Tổ hôm nay
Hai cho công đức cao dày của Cha
Ba cho hồn của quốc gia
Lòng thành khấn nguyện nước nhàAn Khang
 
Trúc Quỳnh
2242007
Năm nay giỗ Tổ Vua Hùng
Cũng ngày kỷ niệm Cha Hùng quyên thân
Vì quê hương chẳng ngại ngần
Máu đào tuôn đổ vì dân quên mình
Mong rằng đất nước hồi sinh 
Thóat vòng khổ nạn điêu linh khốn cùng
Nên Cha chỉ nghĩ chuyện chung
Việc nhà đã có Mẹ cùng gánh vai
Giúp Cha vững bước đường dài
Trên đường thiên lý miệt mài góp công
Nhưng rồi một sớm tươi hồng
Bóng Cha ngã đổ xuống dòng máu tươi
Làm cho con bặt tiếng cười 
Người thân chết lặng mây trời xám đen
Bởi lòng của kẻ đê hèn
Dã tâm phản trắc để đèn lụi tăm
Nhưng Cha như ánh trăng rằm
Vẫn luôn sáng tỏ quanh năm đầu làng
Cho con thấy ánh hồng quang
Vững chân con bước trên đàng con đi
Bao năm con vẫn khắc ghi
Bóng hình giọng nói thầm thì của Cha
Làm con nước Việt thật thà
Vì dân nước Việt hãy ra sức mình
Một tay cức giúp sinh linh
Dựng xây đất Mẹ phồn vinh đời đời
Nhớ Cha lệ nhỏ tuôn rơi
Nén nhang con thắp ở nơi xa này
Một dâng cúng Tổ hôm nay
Hai cho công đức cao dày của Cha
Ba cho hồn của quốc gia
Lòng thành khấn nguyện nước nhàAn Khang
 
Trúc Quỳnh
2242007
Viết thay 7_vdn",Thơ gia đình
EM CÓ TỘI GÌ ?,"Tặng cho những mảnh đời bất hạnh

 
Trời ơi em có tội chi 

Tại sao lại phải sầu bi muộn phiền

Cuộc đời em lắm truân chuyên

Đến năm lên bốn mất quyền trẻ thơ

 
Từ đây em đã bơ vơ

Không cha không mẹ trông chờ vào ai 

Trông chờ vào đôi bàn tay

Hình hài nhỏ bé ngày ngày long đong

 
Người ta đứa ẵm đứa bồng

Còn em côi cút chiều không nơi về

Dòng đời sao lắm nhiêu khê

Em còn nhỏ tuổi mà thê lương buồn

 
Người ta bạc vạn tiền muôn

Còn em chỉ có nỗi buồn vây quanh

Người ta trong trắng ngoài xanh

Còn em chỉ có một manh áo sờn

 
Sao đời lại có thiệt hơn

Bỏ em yếu đuối trong cơn ngặt nghèo

Chiều buông phiên chợ em sèo

Đầu đường xó chợ đói meo thân tàn

 
Đến năm lên tám lang thang

Đầu đồn cuối bến hoang mang một đời

Vẫy vùng giữa chốn biển khơi

Làm sao thoát khỏi mà bơi vào bờ

 
Tương lai nhìn quá hoang sơ

Mồ côi thảm cảnh sao mơ đủ đầy

Người ta có đó có đây

Còn em chỉ có một thây một mình

 
Người ta vườn đẹp nhà xinh

Còn em chỉ có vũng sình dưới chân

Người ta đùa cợt trong sân

Còn em thì phải bần thần kiếm ăn

 
Người ta có nệm có chăn

Còn em chỉ có cái ăn đã mừng

Trời cho cao thấp quá chừng

Tội chi em phải lệ rưng tháng ngày

 
Em đã làm điều gì sai

Tại sao phải chịu đắng cay vô cùng

Đời em kiếp mộng mông lung

Chén cơm hẩm hút chan chung lệ sầu

 
Người ta cuộc sống sang giầu

Còn em cuộc sống là rầu là lo

Người ta đời mãi ấm no

Còn em trời đã ban cho kiếp nghèo

 
Có đêm ngắm mảnh trăng treo

Trung thu cảnh vắng buồn theo năm dài

Đời em là chuỗi u hoài

Đời em là những tháng ngày khổ đau

 
Cha mẹ đang ở nơi nao 

Hỡi người có thấu lệ trào tim con

Trái tim hãy vẫn còn son

Mà lăn là lóc xuống con đường sình

 
Tìm đâu ra ánh bình minh

Tìm đâu ra những bóng hình thân yêu

Một đời đâu có bao nhiêu

Từ nhỏ đến lớn khổ nhiều thân em

 
Thấy người ta em phát thèm

Thèm cha thèm mẹ và thèm đông vui

Cuộc đời em mãi lui cui

Đói no thân dại chiều xuôi bóng tà

 
Ai là mẹ  Ai là cha 

Làm sao em biết đặng mà dung thân

Chiều buồn em đứng ngoài sân

Nhìn người sum họp lệ dâng mi sầu

 
James Carlos
Tặng cho những mảnh đời bất hạnh
Trời ơi em có tội chi 
Tại sao lại phải sầu bi muộn phiền
Cuộc đời em lắm truân chuyên
Đến năm lên bốn mất quyền trẻ thơ
Từ đây em đã bơ vơ
Không cha không mẹ trông chờ vào ai 
Trông chờ vào đôi bàn tay
Hình hài nhỏ bé ngày ngày long đong
Người ta đứa ẵm đứa bồng
Còn em côi cút chiều không nơi về
Dòng đời sao lắm nhiêu khê
Em còn nhỏ tuổi mà thê lương buồn
Người ta bạc vạn tiền muôn
Còn em chỉ có nỗi buồn vây quanh
Người ta trong trắng ngoài xanh
Còn em chỉ có một manh áo sờn
Sao đời lại có thiệt hơn
Bỏ em yếu đuối trong cơn ngặt nghèo
Chiều buông phiên chợ em sèo
Đầu đường xó chợ đói meo thân tàn
Đến năm lên tám lang thang
Đầu đồn cuối bến hoang mang một đời
Vẫy vùng giữa chốn biển khơi
Làm sao thoát khỏi mà bơi vào bờ
Tương lai nhìn quá hoang sơ
Mồ côi thảm cảnh sao mơ đủ đầy
Người ta có đó có đây
Còn em chỉ có một thây một mình
Người ta vườn đẹp nhà xinh
Còn em chỉ có vũng sình dưới chân
Người ta đùa cợt trong sân
Còn em thì phải bần thần kiếm ăn
Người ta có nệm có chăn
Còn em chỉ có cái ăn đã mừng
Trời cho cao thấp quá chừng
Tội chi em phải lệ rưng tháng ngày
Em đã làm điều gì sai
Tại sao phải chịu đắng cay vô cùng
Đời em kiếp mộng mông lung
Chén cơm hẩm hút chan chung lệ sầu
Người ta cuộc sống sang giầu
Còn em cuộc sống là rầu là lo
Người ta đời mãi ấm no
Còn em trời đã ban cho kiếp nghèo
Có đêm ngắm mảnh trăng treo
Trung thu cảnh vắng buồn theo năm dài
Đời em là chuỗi u hoài
Đời em là những tháng ngày khổ đau
Cha mẹ đang ở nơi nao 
Hỡi người có thấu lệ trào tim con
Trái tim hãy vẫn còn son
Mà lăn là lóc xuống con đường sình
Tìm đâu ra ánh bình minh
Tìm đâu ra những bóng hình thân yêu
Một đời đâu có bao nhiêu
Từ nhỏ đến lớn khổ nhiều thân em
Thấy người ta em phát thèm
Thèm cha thèm mẹ và thèm đông vui
Cuộc đời em mãi lui cui
Đói no thân dại chiều xuôi bóng tà
Ai là mẹ  Ai là cha 
Làm sao em biết đặng mà dung thân
Chiều buồn em đứng ngoài sân
Nhìn người sum họp lệ dâng mi sầu
James Carlos",Thơ gia đình
ƠN MẸ,"Lúc chào đời nằm trong vòng tay mẹ
Vỗ giấc nồng mẹ cất khẽ lời ru
Con say sưa từng dòng sữa ngọt ngào
Là tình mẹ như suối nguồn thơm mát

Ngày rời nôi mẹ dìu con bước một
Con vui cười niềm hạnh phúc mẹ trao
Dẫu gầy hao vì đời con tất cả
Mẹ nâng niu con đến lúc trưởng thành

Câu ca dao mẹ dạy con thuở nhỏ
Tình yêu thương trong trang sách vỡ lòng
Con gói ghém hành trang ngày khôn lớn
Giữ trong tâm hình dáng mẹ thiêng liêng

Rồi ngày tháng đời gian nan vất vả
Con thành người khi tóc mẹ điểm sương
Tuổi thanh xuân mẹ không nghĩ không màng
Bởi con trẻ là muôn vàn châu báu

Dù ngàn năm nước đại dương có cạn
Thì muôn đời lòng mẹ vẫn bao la
Con thiết tha cầu ơn trời soi sáng
Mẹ cận kề luôn sống mãi bên con 

September 8 2010",Thơ gia đình
NHỚ CHỊ GIỮA MUÀ THU LÁ VÀNG,"Chiếc lá vàng rơi hay cánh bướm
Ðến đậu vai em một sớm Thu
Mình em trở lại con đường cũ
Kỷ niệm  xua đi lớp sương mù
Thương em cách trở miền quê ấm
Chẳng quản đường xa chị đến thăm
Quê hương là chị là Hà Nội
Trà sen hương cốm thắm ân tình
Chị chải suối tóc thời con gái
Nhẹ bay trong chiều nắng lung linh
Em ngồi ngắm chị qua khung cửa
Ấm lòng ngỡ tưởng giữa quê mình
Chị đến  ngày Thu mới chớm vàng
Giờ đây Thu đổ lá mênh mang
Dòng sông nhớ chị đìu hiu chảy
Mới đấy đã xa thật ngỡ ngàng
Thời gian xếp lá vàng muôn lối
Nhớ chị lòng em lại bồi hồi
Những ngày bên chị  trăng Thu tỏ
Hỡi người chị gái mến thương ơi
La Rochelle France le 30122001
Bản dịch tiếng Anh 
I MISS YOU IN THE YELLOW FALL của Thanh Thanh xem ở đây
httpvietnamthuquaneudiendantmaspxm183433
Chiếc lá vàng rơi hay cánh bướm
Ðến đậu vai em một sớm Thu
Mình em trở lại con đường cũ
Kỷ niệm  xua đi lớp sương mù
Chiếc lá vàng rơi hay cánh bướm
Ðến đậu vai em một sớm Thu
Mình em trở lại con đường cũ
Kỷ niệm  xua đi lớp sương mù
Thương em cách trở miền quê ấm
Chẳng quản đường xa chị đến thăm
Quê hương là chị là Hà Nội
Trà sen hương cốm thắm ân tình
Chị chải suối tóc thời con gái
Nhẹ bay trong chiều nắng lung linh
Em ngồi ngắm chị qua khung cửa
Ấm lòng ngỡ tưởng giữa quê mình
Chị đến  ngày Thu mới chớm vàng
Giờ đây Thu đổ lá mênh mang
Dòng sông nhớ chị đìu hiu chảy
Mới đấy đã xa thật ngỡ ngàng
Thời gian xếp lá vàng muôn lối
Nhớ chị lòng em lại bồi hồi
Những ngày bên chị  trăng Thu tỏ
Hỡi người chị gái mến thương ơi
La Rochelle France le 30122001
I MISS YOU IN THE YELLOW FALL của Thanh Thanh xem ở đây",Thơ gia đình
TIẾNG MẸ GỌI TỪ NGÀN NĂM LỊCH SỬ,"Tiếng Mẹ gọi từ ngàn năm lịch sử
 Trổi dậy con giặc dày xéo non sông
Thúc giục con bừng lửa cháy trong lòng
Cơn quốc biến phải liều mình cứu nước
 
Cơn quốc biến hô vang lời quyết chiến
Đứng lên con vì tổ quốc hưng vong
Đứng lên con làm rạng giống Lạc Hồng
Việt Nam hỡi ơi hồn thiêng bất diệt
 
Thức dậy con giặc tràn sang chém giết
Vạn sinh linh quặn oại với đau thương
Tĩnh đi con một giấc ngủ miên trường
Hãy trổi dậy lao mình ra phía trước
 
Ta liều thác quyết đền ơn đất nước
Trước gian nan xin hãy ngẩng cao đầu
Nay nước nhà đang gặp cảnh bể dâu
Ta thà chết không cúi đầu khuất phục
 
Da ngựa bọc thây hỏi ai vinh ai nhục
Quốc phá gia vong hào kiệt ở đâu 
Hỡi sĩ phu sao bỏ ngỏ tuyến đầu
Cơn quốc nạn tủi nhục nào hơn nữa
 
Tiếng kêu Mẹ như một lời khấn hứa
Đứng lên con tổ quốc đợi chờ ta
Góp bàn tay thề cứu lấy sơn Hà
Để dân chủ nở hoa hồn dân tộc
 
Rồi đến lúc nước nhà qua tang tóc
Con được nằm trong đất mẹ bao la
Mẹ ôm con trong suối lệ chan hòa
Lời nhắn nhủ này quốc gia là trọng
 
Quê hương ta đó một thời vang bóng
Hòn ngọc viễn đông rạng rỡ góc trời
Nay giặc về gây tang tóc nơi nơi
Mẹ ơi mẹ mẹ muôn đời phải sống
Lê Chân",Thơ gia đình
EM GÁI TÔI,"Nhân ngày sinh nhật thứ 65 của em

Em nay tuổi sáu lăm
Anh cũng tròn sáu sáu
Anh hằng mong đau đáu
Viết lên bài trường ca

Về cuộc đời chúng ta
Kể từ ngày cha mất
Sao trong lòng thổn thức
Chỉ nghĩ mãi về em

Năm anh chưa tròn bốn
Em gái chưa tròn ba
Ðã chịu đời mất cha
Từ nay đầy vất vả

Mẹ thân gầy tất tả
Góa bụa và con thơ
Giữa cảnh đời chơ vơ
Nuôi đàn con bốn đứa

Em chưa tròn mười ba
Thôi không còn học nữa
Nhường chữ cho anh học
Em biết đọc cộng trừ

Tuổi học trò thua thiệt
Tuổi thơ thôi cuồng nhiệt
Em cam chịu cảnh nghèo
Bởi nhà mình gieo neo

Đôi quang gánh đi theo
Áo vá bạc đường dài
Sau chân mẹ lam lủ
Tìm kiếm kế sinh nhai

Anh cả đi lính chiến
Anh theo học trường xa
Em một mình côi cút
Lo toan bao việc nhà

Ngoài đồng lúa ai gặt
Em đi nhặt thóc rơi
Sàng sảy rồi đem phơi
Nuôi năm con gà đẻ

Gót chân em nức nẻ
Bàn tay lấm chân bùn
Giữa cái lạnh mùa đông
Giữa trưa hè nắng cháy

Em không hề áy náy
Em lại thấy xót thương
Anh trai đi học trường
Cần mua chiếc xe đạp

Em không sợ khó nhọc
Không sợ rét nàng Bân
Anh trai cần ấm thân
Nhường cho anh áo lạnh

Bao tháng ngày hiu quạnh
Anh em đứa nỗi nhà
Nhưng cuộc đời khốn khổ
Ðâu tìm được ngày qua

Em không có thiếu niên
Thiếu nữ  lại truân chiên
Không một chút buồn phiền
Hy sinh và nhẫn nhục

Nghĩ đời sông có khúc
Rồi em đi lấy chồng
Tình duyên được bình yên
Để đời em mãn nguyện

Ngày em bước sang sông
Như bao đóa hoa hồng
Sắc màu tươi và thắm
Cũng phận gái thuyền quyên

Anh uống nhiều và say
Nhớ thương em những ngày
Dãi dầu bao mưa nắng
Lòng anh càng đắng cay

Nghĩ mình thêm xấu hổ
Còn nợ bao công em
Cả cuộc đời hy sinh
Để mình anh bớt khổ

Những dòng thơ vô bổ
Không tải nổi tâm tình
Tấm lòng em cho anh
Làm sao quên ngày cũ

Hè 2015
NHẬT THIỆN
Em nay tuổi sáu lăm
Anh cũng tròn sáu sáu
Anh hằng mong đau đáu
Viết lên bài trường ca

Về cuộc đời chúng ta
Kể từ ngày cha mất
Sao trong lòng thổn thức
Chỉ nghĩ mãi về em

Năm anh chưa tròn bốn
Em gái chưa tròn ba
Ðã chịu đời mất cha
Từ nay đầy vất vả

Mẹ thân gầy tất tả
Góa bụa và con thơ
Giữa cảnh đời chơ vơ
Nuôi đàn con bốn đứa

Em chưa tròn mười ba
Thôi không còn học nữa
Nhường chữ cho anh học
Em biết đọc cộng trừ

Tuổi học trò thua thiệt
Tuổi thơ thôi cuồng nhiệt
Em cam chịu cảnh nghèo
Bởi nhà mình gieo neo

Đôi quang gánh đi theo
Áo vá bạc đường dài
Sau chân mẹ lam lủ
Tìm kiếm kế sinh nhai

Anh cả đi lính chiến
Anh theo học trường xa
Em một mình côi cút
Lo toan bao việc nhà

Ngoài đồng lúa ai gặt
Em đi nhặt thóc rơi
Sàng sảy rồi đem phơi
Nuôi năm con gà đẻ

Gót chân em nức nẻ
Bàn tay lấm chân bùn
Giữa cái lạnh mùa đông
Giữa trưa hè nắng cháy

Em không hề áy náy
Em lại thấy xót thương
Anh trai đi học trường
Cần mua chiếc xe đạp

Em không sợ khó nhọc
Không sợ rét nàng Bân
Anh trai cần ấm thân
Nhường cho anh áo lạnh

Bao tháng ngày hiu quạnh
Anh em đứa nỗi nhà
Nhưng cuộc đời khốn khổ
Ðâu tìm được ngày qua

Em không có thiếu niên
Thiếu nữ  lại truân chiên
Không một chút buồn phiền
Hy sinh và nhẫn nhục

Nghĩ đời sông có khúc
Rồi em đi lấy chồng
Tình duyên được bình yên
Để đời em mãn nguyện

Ngày em bước sang sông
Như bao đóa hoa hồng
Sắc màu tươi và thắm
Cũng phận gái thuyền quyên

Anh uống nhiều và say
Nhớ thương em những ngày
Dãi dầu bao mưa nắng
Lòng anh càng đắng cay

Nghĩ mình thêm xấu hổ
Còn nợ bao công em
Cả cuộc đời hy sinh
Để mình anh bớt khổ

Những dòng thơ vô bổ
Không tải nổi tâm tình
Tấm lòng em cho anh
Làm sao quên ngày cũ

Hè 2015
NHẬT THIỆN",Thơ gia đình
DIÃ BÁNH PHU THÊ,"Hôm nớ cuối tuần nhà có giỗ
Nội biểu anh mang qua ít quà
bưng cúng Ngoại em thân tình cũ
mầm đầy hoa quả bánh su sê 

Anh đến răng mặt em không vui
Mạ noái  con coai hắn cứ đoài
giành với thằng em con cua luộc
Bác phết hai roai đuổi ra ngoài

Anh nắm tay em dịu dỗ dành
ra mương đi bắt cá với anh
qua vườn anh hái cho chùm khế
đừng khóc nữa mà anh hết thương

Rủ vài đứa bạn cạnh nhà anh
băng bờ ruộng mạ mới vươn xanh
đi coai tát cá trê vàng hỉ
răng mà nước mắt cứ long lanh

Những ngày nghỉ học tui buồn xo
vắng vẻ nhà bên vắng tiếng O
O đi theo Mệ lên Long Thọ
có một tuần răng nhớ để mô

 Thoáng chốc mà răng O đã sổi
rời trường bỏ bạn bỏ luôn tui
O theo cha mạ đi xa lắm
để lại nhà muôn triệu ngậm ngùi

Mới biết đã yêu răng vụng dại
mất người bạn nhỏ tuổi ô mai
cái buồn ni hắn rưng rưng mắt
chừ noái làm răng cũng muộn rồi


Chiều qua người bạn báo cho anh
thứ bày tuần ni em lấy chồng
rứa thôi vĩnh biệt người xưa ấy
dĩa bánh su sê đợi mốc dần


đht

 phu thê",Thơ gia đình
CHỊ ƠI !,"Chị đi
Mất biệt bóng hình
Bỏ em ở lại một mình chơ vơ
Xuân về héo úa vần thơ
Chia xa cũng bởi đôi bờ âm_dương
Chị đi
Trời đất mù sương
Tàn Đông gió lạnh tơ vương nắng chiều
Não lòng  mây trắng phiêu diêu
Thì ra có một bóng Diều buông dây 
Chị đi về chốn bờ Tây
Bờ Đông em ở
Buồn nầy hắt hiu
Chờ ai 
Mỗi sángliêu xiêu
Ban mai nắng lại tiêu điều xanh xao
Đất trời dường cũng lao đao
Tà huy bất chợt đổi màu  hoang sơ
Chị ơi 
Đời lắm hững hờ
Mình em lạc giữa bơ vơ cõi người
Về đâu lấy lại tiếng cười
trong veo như thuở lên mười lên năm 
Mai đây trong chốn thăng_trầm
Em chơ vơ với lặng thầm mênh mông
Như đầu nguồn  ngóng cuối sông
Còn ai đâu để em trông mỗi ngày 

Thiều quang lịm tắt  xa bay
Tháng năm rồi sẽ mệt nhoài
Chị ơi 
04012015",Thơ gia đình
VU LAN NHỚ CHA,"Bao đêm thức giấc lúc đêm về
Nhớ người ướt đẫm lệ rơi tuôn
Lòng con muốn thét điên cuồng
Khóc không ra tiếng nỗi buồn nhớ cha

Bao năm qua thiết tha thương tiếc
Mùa thu về da diết nỗi đau
Vu lan con cứ nghẹn ngào
Đến mùa báo hiếu khát khao có người

Mùa thu rồi sắp tới Vu Lan
Con nhớ cha ngỡ ngàng rơi lệ
Bao năm những tháng thu về
Lòng con chua xót não nề nhớ nhung

Cha xa rồi nghìn trùng vĩnh biệt
Con bao năm thương tiếc đau lòng
Cha ơi cha có biết không
Mùa Vu Lan đến lệ lòng vẫn rơi

Cha đi rồi tơi bời mộng ước
Con giữ nguyên hẹn ước cùng cha
Chăm lo cho mẹ yếu già
Nhưng làm sao sánh khi cha vẫn còn

Vu Lan về lòng con ghi nhớ
Con vẫn còn món nợ với cha
Làm sao báo hiếu cho cha
Vì con vĩnh viễn mất cha muôn đời
21Aug2021
PTT Lệ Tình",Thơ gia đình
NHỚ ĐÒN ROI MẸ,"Nhớ xưa mẹ đánh đòn roi
Mỗi lần đuổi bướm rong chơi quanh làng
Đánh rồi lệ mẹ hai hàng
Như chim vỡ tổ lạc đàn kêu sương
Đòn roi mẹ dệt ngàn thương
Con mang theo khắp nẻo đường sơn khê
Dù cho biên ải não nề
Sông sâu biển bạc ê hề mưa tang
Mẹ ơi  Núi lạnh sông hàn
Bến đời hoang dại tơ vàng lênh đênh
Đòn roi chưa kịp Hiếu đền
Con đà viễn xứ ruột mềm nát môi
Rằng xưa mẹ đánh đòn roi
Nhủ lòng con nhớ gương soi bóng đời
Tấm gương ảnh ảo lưng trời
Trắng đầu cha thấm đầy vơi oan trường
Đòn roi hồn vọng quê hương
Đòn roi phảng phất nghê thường quạnh hiu
Đòn roi uống ánh trăng chiều
Đòn roi vỗ tiếng Mẹ yêu mỏi mòn 

Nauy 04012007
Nhớ xưa mẹ đánh đòn roi
Mỗi lần đuổi bướm rong chơi quanh làng
Đánh rồi lệ mẹ hai hàng
Như chim vỡ tổ lạc đàn kêu sương
Nhớ xưa mẹ đánh đòn roi
Mỗi lần đuổi bướm rong chơi quanh làng
Đánh rồi lệ mẹ hai hàng
Như chim vỡ tổ lạc đàn kêu sương
Đòn roi mẹ dệt ngàn thương
Con mang theo khắp nẻo đường sơn khê
Dù cho biên ải não nề
Sông sâu biển bạc ê hề mưa tang
Mẹ ơi  Núi lạnh sông hàn
Bến đời hoang dại tơ vàng lênh đênh
Đòn roi chưa kịp Hiếu đền
Con đà viễn xứ ruột mềm nát môi
Rằng xưa mẹ đánh đòn roi
Nhủ lòng con nhớ gương soi bóng đời
Tấm gương ảnh ảo lưng trời
Trắng đầu cha thấm đầy vơi oan trường
Đòn roi hồn vọng quê hương
Đòn roi phảng phất nghê thường quạnh hiu
Đòn roi uống ánh trăng chiều
Đòn roi vỗ tiếng Mẹ yêu mỏi mòn 
Nauy 04012007",Thơ gia đình
