title,content,Category
MẸ SÔNG SON,"Cứ ngỡ sông Son đỏ
Bất ngờ nước nói xanh
Con đò rời bến đỗ
Dỗ cánh cò bay ngang
Núi tím bờ bãi biếc
Chiếc thắt lưng Quảng Bình
Đến gió cũng nuối tiếc
Chưa một lần reo vui
Núi hoài thai trong núi
Khe mang hồn suối xa
Động thần tiên triệu tuổi
Bước chân sông lại qua
Người hát lời của đá
Cá hóa rồng Trường Sơn
Phong Nha như là mẹ
Sinh thành con sông Son",Thơ gia đình
MẸ,"Chân cứng đá mềm tủi hồn quê
Áo nâu nón lá mặt sầu che
Nắng khô bờ mía khô ao cá
Cỏ héo hoa tàn bặt tiếng ve
  Mây che cát lấp hay mắt mù
Mẹ đi con cũng mất đường tu
Kinh hoàng chết khát không nguồn cội
Tàu chuối lá dừa lạnh gió thu
  Luống cải hoa vàng bướm ngẩn ngơ
Mẹ con vun tưới nắng thẫn thờ
Cơn giông chợt đến mưa ma quái
Con được chui vào áo mẹ mơ
  Câu chuyện thần tiên lại trở về
Thơm bầu sữa mẹ ngủ no nê
Hai tay ôm chắc lưng từ mẫu
Tóc mẹ giăng màn trời chở che
  Mẹ có nghỉ ngơi, có ngủ không
Đêm hè leo lét ngọn đèn chong
Vá may bắt muỗi tay mòn mỏi
Áo lạnh vai gầy tủi gió đông
  Khói lửa tràn lan giặc cướp về
Nửa đêm ba mẹ bị kéo lê
Ba may chạy thoát thương thân mẹ
Máu nhuộm kinh hoàng mấy bờ đê (1)
  Cũng may trời phật ông bà thương
Mẹ đã vượt qua nẻo đoạn trường
Chân le chân vịt thân xuôi ngược
Lo cháo lo rau quên vết thương
  Biển cạn non mòn sông vơi đầy
Trời mưa trời gió rụng cỏ may
Canh chua rau đắng lòng thơm ngọt
Ba vẫn thường khen mẹ lắm tài
  Ngày xuân mới thấy áo mẹ lành
Dâng lễ tổ tiên trọn lòng thành
Tóc lại bạc thêm lưng còm cõi
Xin được an bình đủ cơm canh
  Thương tay mẹ biến chứng đau gan
Lở lói đớn đau chẳng dám than
Giấu con vì sợ con đau xót
Không thể ôn thi mất bảng vàng (2)
  Cũng may không thẹn với mẹ hiền
Con đậu tú tài mẹ bình yên
Tim con tan nát khi hay biết
Nước mắt đong đầy bàn tay tiên
  Gió thoảng xa gần nhịp võng trưa
Tiếng gà buồn ngủ gọi trời mưa
Mẹ ru nắng ấm thơm hoa sứ
Con dệt mộng đầu chuyện đời xưa
  Mơ được đào tiên dâng Mẹ ăn
Trắng da dài tóc sống nghìn năm
Mẹ cười hoa bưởi vui hoa nắng
Nhẹ gót trường sinh thoát nợ nần
  Đất nước tang hoang ma quỷ về
Cá tôm tuyệt giống mất lũy tre
Mẹ đau ngày tháng con oan ức
Tù tội không chừa bóng trăng quê
  Nước mắt mẹ thành biển thành sông
Trời cao đất rộng có như không
Hận sầu cháy tóc tim khô máu
Hồn vội tìm con chốn lửa hồng
  Lê gót tàn trên nẻo đắng cay
Xác xơ mái rạ cửa không cài
Chuồng gà chuồng vịt không còn dấu
Rau muống rau dừa nhớ bóng ai
  Khói lạnh nhang tàn tủi trời mưa
Không một tiếng chim không bóng dừa
Vườn trầu khô chết hoa mắc cỡ
Khóm trúc gục đầu mặc gió đưa
  Lối cũ lạ lùng ngõ nhện giăng
Áo sầu chân đất lạnh bóng trăng
Bên thềm rêu chết khô dế khóc
Còn sợi tóc nào vương gốc măng
  Trời đất sao không tan biến đi
Để sầu để hận mãi làm chi
Tình người đâu mất người hóa thú
Hay thú hóa người ngăn lối đi
  Ngày đêm mòn mỏi mong chiêm bao
Gặp mẹ thân yêu như ngày nào
Đón con trước cổng trường sơ học
Tay sẵn thẻ đường thơm mía lau
  Lâu quá rồi sao mẹ không về
Con như cháo khét như cơm khê
Như sầu riêng rụng non ung thối
Chim chóc côn trùng đều chán chê
  Một hôm đất khách bão tuyết tràn
Nửa mê nửa tỉnh nửa kinh hoàng
Vội vàng mẹ đến cho hơi ấm
Thơm ngát mộng lành hương bình an
  Chưa kịp dâng trà chưa hầu cơm
Vô tình tuyết xóa hết dấu chơn
Mẹ theo nhang khói theo sương gió
Một giọt nắng vàng rơi trước sân...
  MD 10/10/05
LuânTâm
Xin Chân Thành Kính Dâng Từ Hiền Mẫu
    (1) Khoảng 1946, lúc tôi mới độ 3 tuổi, một đêm cướp bắt ba mẹ tôi tra khảo tiền một cách dã man. Ba tôi chạy thoát, chúng đâm mẹ tôi nhiều vết thương, tưởng chết, chúng bỏ đi.
(2) Lúc tôi trọ học ở Mỹ Tho, bận ôn bài thi Tú Tài thì ở quê nhà mẹ tôi bị đau gan nặng biến chứng: tay chân lở lói, đau nhức vô cùng, gia đình định nhắn tôi về, mẹ tôi không cho vì sợ tôi đau khổ lo lắng, hỏng thi. Đến lúc thi đậu xong, trở về quê mới hay mẹ đau nặng, tôi vô cùng kinh hoàng, đau xót. Cũng may không phụ lòng hy sinh, thương yêu của Mẹ hiền !
(Trích trong TT""HƯƠNG ÁO"", MinhThư xuất bản , MD,USA.2007, tr.41-46)",Thơ gia đình
LÀM THÂN CON GÁI,"Nón có quai càng cài càng chặt
gái theo chồng ai bảo đeo gông
một mai con bế với con bồng
phúc vinh sánh xuân hồng láng lai
mỹ nhân thường kén chọn anh tài
nồi nào vung ấy mới an bài
ngày tháng trôi đi trên mái tóc
cố níu sao xuân bất tái lai
mệnh danh người giữ lửa tài ba
trục trặc hờn ghen chút gọi là
ấm lửa như trói người sa ngã
ví tựa kim cô cõi ta bà
khi vai em để đầu anh tựa
cân cả buồn vui cả một đời
kén cá chọn canh thời xuân sắc
cõi lòng góc khuất chút chơi vơi",Thơ gia đình
BỚI BÙN ĐẤT TÌM CHA MẸ,"Em đi trong bão tìm cha mẹ
Núi sạt lở trôi chẳng thấy về
Bới đất đêm ngày rơi nước mắt
Vét bùn lạnh cóng tứ chi tê
***
Làng Nủ yên bình đã bấy lâu
Bão Yagi núi sạt trôi dòng sâu
Giờ trơ đất đá thảm thương thế
Cha mẹ không về biết kiếm đâu
***
Đào bới khắp nơi tìm chẳng thấy
Mong rằng cha mẹ vẫn bình an
Bão tan về lại với con nhé
Con đợi bao ngày mắt lệ tràn .
(Nguyễn Đăng Tuyên)
***
Sạt lở vùi đi cả một làng
Đau thương mất mát trắng khăn tang
Thời gian không thể làm phai nhạt
Ám ảnh suốt đời vẫn nặng mang !
(Lê Trường Hưởng)
1/10/2024
TG/ Tuyeen45 - Lê Trường Hưởng.",Thơ gia đình
MẸ QUÊ,"Tháng tư ơi, xin kể về người mẹ
Thuở quê nhà còn ly loạn, binh đao
Chồng mất sớm, mẹ một mình tần tảo
Dù cháo rau, nuôi con đến trưởng thành.
Bởi lớn lên trong thời cuộc điêu linh
Con của mẹ, phải lên đường vì nước
Người giày ""sô"", áo trận, chốn sa trường
Người em trai, xách gói - vượt trường sơn.
Lòng mẹ già, như muối xát từng cơn
Những đêm thâu, mẹ âm thầm cầu nguyện
- Hai người con, ở hai đầu giới tuyến
Súng đạn vầy, sao tránh khỏi thương vong.
...
Rồi một ngày ""hiệp định"", ký kết xong.
Người anh trai, không dấu niềm vui sướng
Đợi em về, cùng dựng xây cuộc sống
Bên mẹ già, cùng làng xóm bình yên.
Nhưng mong ước, chỉ mãi là mong ước
Bởi chiến tranh vẫn khốc liệt ngày đêm
Vẫn bom gầm, vẫn đạn réo khắp miền
Thân chinh nhân, tử, sinh làm sao biết.
Một ngày kia, người anh đền nợ nước
Trong một lần đụng trận ở Miền Đông.
... Đón con về, trong hòm kẽm lạnh tanh
Mẹ òa khóc, trong niềm đau khôn xiết.
...
Rồi chiến tranh cũng đến ngày kết thúc
Mẹ bồi hồi, ngồi bậu cửa đợi trông
Hết mùa thu, rồi tàn cả mùa đông
Bóng người con vẫn bặt chim tăm cá.
Hai năm sau, mới có lời thông báo
Một thông tin... mà mẹ chẳng trông chờ.
Con của mẹ đã không về được nữa
Vì đã nằm đâu đó, dọc trường sơn.
...
Tháng tư về, nào ai nhớ, ai quên
Nơi xóm nghèo, trong căn nhà bé nhỏ
Thắp nén nhang lên bàn thờ tiên tổ
Mẹ - chiều tà, bóng xế, với đơn côi./.
Nguyễn Đon 18/04/2022.",Thơ gia đình
MẸ,"Chân cứng đá mềm tủi hồn quê
Áo nâu nón lá mặt sầu che
Nắng khô bờ mía khô ao cá
Cỏ héo hoa tàn bặt tiếng ve

Mây che cát lấp hay mắt mù
Mẹ đi con cũng mất đường tu
Kinh hoàng chết khát không nguồn cội
Tàu chuối lá dừa lạnh gió thu

Luống cải hoa vàng bướm ngẩn ngơ
Mẹ con vun tưới nắng thẫn thờ
Cơn giông chợt đến mưa ma quái
Con được chui vào áo mẹ mơ

Câu chuyện thần tiên lại trở về
Thơm bầu sữa mẹ ngủ no nê
Hai tay ôm chắc lưng từ mẫu
Tóc mẹ giăng màn trời chở che

Mẹ có nghỉ ngơi, có ngủ không
Đêm hè leo lét ngọn đèn chong
Vá may bắt muỗi tay mòn mỏi
Áo lạnh vai gầy tủi gió đông

Khói lửa tràn lan giặc cướp về
Nửa đêm ba mẹ bị kéo lê
Ba may chạy thoát thương thân mẹ
Máu nhuộm kinh hoàng mấy bờ đê (1)

Cũng may trời phật ông bà thương
Mẹ đã vượt qua nẻo đoạn trường
Chân le chân vịt thân xuôi ngược
Lo cháo lo rau quên vết thương

Biển cạn non mòn sông vơi đầy
Trời mưa trời gió rụng cỏ may
Canh chua rau đắng lòng thơm ngọt
Ba vẫn thường khen mẹ lắm tài

Ngày xuân mới thấy áo mẹ lành
Dâng lễ tổ tiên trọn lòng thành
Tóc lại bạc thêm lưng còm cõi
Xin được an bình đủ cơm canh

Thương tay mẹ biến chứng đau gan
Lở lói đớn đau chẳng dám than
Giấu con vì sợ con đau xót
Không thể ôn thi mất bảng vàng (2)

Cũng may không thẹn với mẹ hiền
Con đậu tú tài mẹ bình yên
Tim con tan nát khi hay biết
Nước mắt đong đầy bàn tay tiên

Gió thoảng xa gần nhịp võng trưa
Tiếng gà buồn ngủ gọi trời mưa
Mẹ ru nắng ấm thơm hoa sứ
Con dệt mộng đầu chuyện đời xưa

Mơ được đào tiên dâng Mẹ ăn
Trắng da dài tóc sống nghìn năm
Mẹ cười hoa bưởi vui hoa nắng
Nhẹ gót trường sinh thoát nợ nần

Đất nước tang hoang ma quỷ về
Cá tôm tuyệt giống mất lũy tre
Mẹ đau ngày tháng con oan ức
Tù tội không chừa bóng trăng quê

Nước mắt mẹ thành biển thành sông
Trời cao đất rộng có như không
Hận sầu cháy tóc tim khô máu
Hồn vội tìm con chốn lửa hồng

Lê gót tàn trên nẻo đắng cay
Xác xơ mái rạ cửa không cài
Chuồng gà chuồng vịt không còn dấu
Rau muống rau dừa nhớ bóng ai

Khói lạnh nhang tàn tủi trời mưa
Không một tiếng chim không bóng dừa
Vườn trầu khô chết hoa mắc cỡ
Khóm trúc gục đầu mặc gió đưa

Lối cũ lạ lùng ngõ nhện giăng
Áo sầu chân đất lạnh bóng trăng
Bên thềm rêu chết khô dế khóc
Còn sợi tóc nào vương gốc măng

Trời đất sao không tan biến đi
Để sầu để hận mãi làm chi
Tình người đâu mất người hóa thú
Hay thú hóa người ngăn lối đi

Ngày đêm mòn mỏi mong chiêm bao
Gặp mẹ thân yêu như ngày nào
Đón con trước cổng trường sơ học
Tay sẵn thẻ đường thơm mía lau

Lâu quá rồi sao mẹ không về
Con như cháo khét như cơm khê
Như sầu riêng rụng non ung thối
Chim chóc côn trùng đều chán chê

Một hôm đất khách bão tuyết tràn
Nửa mê nửa tỉnh nửa kinh hoàng
Vội vàng mẹ đến cho hơi ấm
Thơm ngát mộng lành hương bình an

Chưa kịp dâng trà chưa hầu cơm
Vô tình tuyết xóa hết dấu chơn
Mẹ theo nhang khói theo sương gió
Một giọt nắng vàng rơi trước sân...
MD 10/10/05
LuânTâm",Thơ gia đình
TẾT NÀY VẮNG MẸ,"Ngoài trời chim chóc kêu vang
Hoa mai nở nụ đón xuân rộn ràng
Cạnh nhà pháo nổ rình rang
Tết này vắng mẹ lòng con thẫn thờ
Bao giờ mẹ sẽ trở về?
Thôi thì con đến viếng mồ mẹ đây
Nắm hương hoa quả đủ đầy
Đầu năm chúc mẹ niềm vui ngập tràn

Lãng Nhai Mạc Hận – Trương Văn Tú
2/10/2024
Xuân Giáp Thìn, Mồng Một",Thơ gia đình
CẢM ƠN MẸ,"Mẹ ơi con đã trở về
Những chiều nhạc nắng con đê nối dài
Ngày ngày mẹ vẫn trồng khoai
Mẹ còng lưng mỏi bờ vai mẹ chùng
 
Đến nay tóc bạc lạnh lùng
Từng đêm nó rụng sau cùng mẹ ơi
Những gì mẹ dạy một đời
Lang thang góc bể chân trời chẳng quên
 
Nhìn vào ánh mắt thâm đen
Mẹ thương mẹ nói thấp đèn đấy con
Bàn tay nhỏ bé thon thon
Vuốt đầu con mãi như còn tuổi thơ
 
Đong đưa ngọn nến mập mờ
Tuổi đời của mẹ từng giờ ước ao…
Dù con khôn lớn thế nào
Mẹ đây vẫn dạy đường nào đúng sai
 
Trăm năm người vẫn miệt mài
Nuôi con khôn lớn đến ngày hôm nay
Mẹ ơi con muốn tỏ bày
Tình mẹ bao la đời này chẳng phai
 
Nhìn mẹ tâm trí đầy vơi
Lòng con thương mẹ vạn lời cảm ơn

 
Cá Mặn",Thơ gia đình
MẸ,"Mẹ yêu mẹ quí nhất đời
cho con xin nói một lời cảm ơn
mẹ sinh con giữa đất trời
cho con cuộc sống ngời ngời yêu thương
 
bôn ba đi khắp nẻo đường
chông gai quyết vượt, tơ vương đắm chìm
dặm xa mải miết kiếm tìm….
chẳng bằng bên mẹ con tim rộn ràng
 
liêu xiêu bóng mẹ bên đàng
gặp cơn gió thoảng gội hàng mưa sa
nhân sinh sức yếu tuổi già
chưa kịp đền đáp mẹ đà qui tiên
 
học bao nhiêu chữ thánh hiền
làm bao nhiêu việc cho miền thái lai
mẹ cho con cả hiền tài
nén nhang kính cẩn, dặm dài hạc đưa.
Hoa Tím Xưa",Thơ gia đình
LỤC BÁT RU CON,"( Gởi nguyện ước cho hai con-Võ An Quốc, Võ Hưng Quốc )

Ầu ơi, con ngủ đi con
Ngực cha ủ sát má non ửng hồng
Con ơi, say giấc ngủ nồng
Để cha còn phải gánh gồng nước non.

Thương con bé dại tuổi son
Cha không nỡ bỏ lên non xây thành
Mong con chóng đến tuổi xanh
Cùng cha chung bước hùng anh diệt thù.

...

Giao mùa gió chuyển vào thu.
Ngoài kia lá đổ, điệu ru cha hò

Hò ơ…ơ...ơ...

Gió mùa thu cha ru con ngủ (*)
Năm canh dài thức đủ vừa năm
Thu nay cũng ánh trăng Rằm
Tình cha gãy gánh... mẹ nằm huyệt sâu.

Hò… ơ…ơ...

Hồn em nay ở nơi đâu
Mau về ấp ủ hai đầu con thơ
Ngây thơ trong nét dại khờ
Bơ vơ con hỏi mẹ giờ ở đâu ?!

Sông kia khúc cạn khúc sâu
Đời người lúc khó lúc sầu... chơi vơi...
Con ơi, chóng lớn vào đời
Để cha tìm mẹ, thảnh thơi về nguồn.

Hò…ơ…hò...

Thu sang mây tím chiều buông
Có đôi mắt đỏ, hòa chuông gọi chiều…


Nguyên Thạch

(*) Ca dao",Thơ gia đình
