title,content,Category
NỤ QUỲNH TRONG ĐÊM,"Ngoài kia ...
Đêm pha lê
Lóng lánh những giọt sương trên lề cuống lá
nơi nhánh Quỳnh cuộn tròn là lạ
nụ hoa vừa thức giấc
cựa mình ngơ ngác
rướn người trên chiếc đài còn ngái ngủ
nhè nhẹ
nở xoè .
Những cánh Quỳnh trắng muốt
nuột nà
bung đều
theo vũ điệu
yêu thương .
Mây dường như xuống thấp
Trăng nghiêng mặt
Gió ngừng bặt
Sương ngây ngất ngắm nhìn
Nụ Quỳnh
đẹp lung linh
nở muộn
Hương loang toả muôn nơi thơm ngai ngái .
Trong này...
bên khung cửa nhỏ in hình mây , trăng , gió
Có một con tim đang bỏ ngõ
chờ hoa tình đươm trổ
những yêu thương .
Cũng tinh nguyên như cánh Quỳnh mà mượt .
Em
nụ Quỳnh nở muộn của riêng anh
dịu dàng trong đêm
hương loang say toả bên thềm .",Thơ thiên nhiên
CÂY BÀNG MÙA THU,"Đình làng vắng vẻ chiều nay.
Bầu trời ảm đạm heo may gió về .
Hàng bàng dọc lối đường quê .
Lá xanh nhuộm đỏ thu về trên cây .
Mù sa trôi nổi tầng mây .
Cây bàng trút lá hao gầy khô đen .
Vài màu lá chết đan xen .
Cành nghiên chao nước hồ sen úa vàng.
Hồ sen xơ xác lụi tàn.
Vài ba cánh én lang thang giữa trời.
Mưa ngâu từng giọt rơi rơi.
Đàn trâu thủng thẳng chân rời đồng hoang .
Bầy cò trắng đứng rỉa lông.
Cánh đồng lúa chín mênh mông cuối làng .
Mưa sa phủ lạnh bên ngàn .
Vài con chim nhỏ lạc đàn kêu vang .
Hòa cùng gió rít khẻ khàn .
Nghĩa trang hoang vắng mơ màng bên sông .
Mịt mù vời vợi xa xăm.
Con dơi về tổ lạnh căm giữa trời.
Hãi âu bay lượn giữa khơi .
Từng làn gió quất tơi bời lá bay .
Dừng chân lãng tử nơi này.
Bến đò năm cũ còn hay mối tình?
Yêu nhau từ thuở học sinh .
Chiến trường réo gọi , rẽ tình đôi nơi .
Dù xa xưa vẫn bồi hồi.
Cây bàng dĩ vãng một thời nhớ thương.
. Võ Thời  20 - 11 - 2022",Thơ thiên nhiên
SỰ TÍCH HOA BÂNG KHUÂNG TÍM,"Ngày xưa, ở một làng quê yên bình
Có một cô nàng rất đẹp xinh nhưng nhiều ảo tưởng
Luôn luôn tự đắc về bản thân không còn định hướng
Nghĩ rằng nhan sắc sẽ trường tồn vĩnh viễn với thời gian
Biết bao chàng trai từ khắp chốn dân gian
Xin được một lần
Nắm tay nàng đến bến bờ hạnh phúc
Nhưng tất cả đều bị nàng lạnh lùng từ chối
Để rồi cho đến lúc...
  Tuổi xuân trôi qua, hoa đẹp mấy cũng phải tàn
Làm sao đời tươi mãi với thời gian
Nhan sắc phôi pha nàng trở thành cô độc
Rồi người con gái quá thì chết theo tiếng khóc
Trên nấm mộ buồn mọc lên những bông hoa
Người ta gọi ""hoa bâng khuâng"" trong bóng xế chiều tà
Đó là sự tích một loài hoa trên xứ sở ngàn hoa Đà Lạt",Thơ thiên nhiên
Ở MỘT NGÀY ĐẦU ĐÔNG,"khi những chiếc lá thu chết 
vẫn chưa chịu rời cành,
cơn tuyết đầu mùa đã nhẹ rơi 
con đường bờ sông đang trở lạnh
  đàn chim im lặng 
xếp thẳng hàng
trên đường giây điện 
để nghĩ về con đường di tản 
  khu vườn nhỏ dường như 
đang rộng hơn 
có lẽ vì cụm hoa đã úa tàn
đám cây trơ xương, ngủ giấc đông dài
tiếng những giọt mưa rơi lộp bộp nặng hơn vì lạnh 
  ta cũng  bắt đầu chuẩn bị
cho giấc miên trường 
  không thể ra sau vườn 
không thể dạo chơi bên bờ sông
không thể gỡ những chiếc lá vàng
ra khỏi những cành cây khô khốc
  con sóc già cũng bắt đầu 
chôn giấu 
rồi hy vọng
sẽ không quên đi 
những dấu vết của mình
  ở một ngày đầu đông 
bắt đầu nghĩ sẽ làm gì
  một tách cà phê buổi sáng uống chậm 
một ly rượu chát nhấp từng ngụm nhỏ, buổi chiều 
đọc thật thấm, thật sâu lại bài thơ của bạn 
nằm yên lặng nghe bản nhạc thời xa xưa
  một mình
riêng mình 
và cho mình 
ở một ngày đầu đông 
  Nguyễn Trung",Thơ thiên nhiên
THU BUỒN,"Rặng liễu chơ vơ đón gió lùa
Lá vàng rơi rụng cành trơ lá
Đìu hiu cảnh vật buồn khôn tả
Vườn vắng nhà không một tiếng cười
Một ngôi sao lạ hiện chân trời
Có lẽ là người nơi chốn đó
Điềm báo khi Thu về tiếng gió
Ngoài song réo rắc gọi tình lang
Gió thổi mang theo những lạnh lùng
Mây giăng sương phủ mờ nhân ảnh
Trời Thu mang nỗi sầu canh cánh
Cô phụ ngậm ngùi cảnh biệt ly
*
Vô thường cõi tục nhân gian
Ở đi... đi ở... muôn vàn niềm đau
Ngậm ngùi chôn giấu nỗi sầu
Hồn cây tiễn lá... canh thâu giọt buồn.
Sương Anh",Thơ thiên nhiên
SÔNG TRỞ GIẤC,"Em có nghe dòng sông đang trở giấc
gọi ta về thương nhớ một Quê Hương
bữa ra đi vội vàng quên giã biệt
nên buồn thương mãi miết bám theo đời
Quê Hương ta - mặt trời lên - phía ấy
có sông Hồng và chín ngọn Cửu Long
nước cuộn chảy giữa núi đồi hùng vĩ
mùa giao mùa ngô lúa ngậy mùi thơm
Từ phía ấy - những tấm lòng chân thật
lay nôi em bằng những điệu ru vui
Từ phía ấy - những con người chơn chất
chén cơm nghèo còn muốn xẻ chia đôi
Từ phía ấy - tuổi thơ em sống lại
giữa trời xanh con diều nhỏ bay cao
Từ phía ấy - ngôi trường xưa mái rạ
bạn thân thương tay nắm dắt dìu nhau
Từ phía ấy - dòng sông đang trở giấc
reo lời buồn thương nhớ bóng người xưa
thấp thoáng đó mà bây giờ đã mất
những ngày vui theo nhịp võng đong đưa
Từ phía ấy - mái tranh nghèo còn đấy
nhưng vắng em lửa như bớt hồng reo
Từ phía ấy - vẫn cánh đồng ngô lúa
nhưng bờ đê xa vắng bước chân vui
Sông trở giấc tuôn mạch buồn vào đất
nặng bước chân người đang sống lưu vong
Sông trở giấc Cội Nguồn thân ái gọi
Hương Xuân thơm mở những nụ đời vui .
Cao Nguyên",Thơ thiên nhiên
THUYỀN SẦU,"Ra đi thêm nhớ quê nhà
Trăm măm nghi hoặc thương xa nhớ gần
Người buồn hoa héo khô xuân
Hoa buồn người héo hồng trần khô hương
Ngày xưa sống với ruộng vườn
Ngày nay lạc lõng phố phường nhỏ nhoi
Hiền nhân xưa cũng nổi trôi
Thi nhân xưa cũng rã rời hồn thơ
Trăng sầu tóc bạc xác xơ
Gian nhà quen thuộc còn ngờ chưa quen
Mặc ai chia rẽ sang hèn
Mặc ai quên nghĩa trắng đen thay lòng
Ta như sóng nước Cửu Long
Lang thang bốn biển mà lòng một phương
Đất lành thêm một quê hương
Nợ duyên mấy kiếp đoạn trường gian nan
Tuổi thơ sao lắm cơ hàn
Đội trời đạp đất thênh thang sông hồ
Lối nào hoa úa cỏ khô
Nhân gian mờ mịt nhấp nhô thuyền sầu
Chạy ăn chạy mặc bạc đầu
Đắng cay lủi thủi về đâu đêm dài
Sao chưa nguyện ước đã bay
Áo chưa kịp mặc đã phai hết màu
Tối đen đường trước ngõ sau
Bầy đom đóm nhỏ bay vào mộng du
Bốn phương khói lửa mịt mù
Bao nhiêu oan ức tội tù nát thây
Còn đâu chiều cũ sum vầy
Ly trà xanh chén rượu say nghĩa tình
Mười năm gối mộng thư sinh
Mười năm dâu bể thuyền tình dở dang
Ai về phố cũ hoang tàn
Ta tha hương cũng xốn xang nửa đời
Ao bèo ca nhỏ còn bơi
Ruộng hoang rau đắng cải trời nhớ ai
Nhà không vườn trống mưa bay
Nhện giăng rêu phủ dấu giày bể dâu
Mồ cha mả mẹ còn đâu
Nghìn thu cũng chẳng thể nào yên thân
Đã đành nhân thế phù vân
Mà sao gian ác chẳng cần đắn đo
Thì thôi câm điếc giả đò
Cũng như cát bụi nhỏ to làm gì
Một đời chỉ một chuyến đi
Trước sau rồi cũng xanh rì mốc meo
Lang thang nắng sớm mưa chiều
Đục trong hờn giận thương yêu còn gì
Rừng thiền núi mộng vô vi
Áo bay sương khói đường đi bụi mờ....
MD.01/11/02
LuânTâm",Thơ thiên nhiên
NGƯỢC LỐI HẠ VỀ,"Phủ lớp rêu hằn lên dấu xưa
Tìm quên một thuở níu duyên thừa
Tôi về nhẩm đếm từng trăng hạ
Gió buộc, then cài... ủ sắc mưa !
*
Mây nước đôi dòng - Mây nước ơi
Mùa xanh xao lạc cuối chân trời
Cung đàn vun vén từng hương niệm
Buông hết cho tàn mấy cuộc chơi !
*
Có lẽ dòng xưa chẳng ngược về
Bên chiều xuôi lặng bóng sơn khê
Tôi chừ nhặt nắng hòa men rượu
Uống để tìm quên buổi ước thề !
*
Nếu lỡ mai này chạm lối nhau
Làm sao biết được giữa muôn màu
Hai đầu lưỡng cực... không và có
Chắc cũng vô tình... kẻ trước... sau !
*
Thôi thế mùa duyên đã nhạt rồi
Em về gọi nắng gởi chiều trôi
Còn tôi rắc phượng ru tình hạ
Vọng nửa vầng trăng khuyết chẳng bồi !
Dạ Vũ NguyênMinh.",Thơ thiên nhiên
THẦM LẶNG ĐÔNG VỀ,"Đông đã tràn giá lạnh đắp thân côi
Đường lầm lũi bóng đời bòn hơi ấm
Trời trở gió, lòng Người say bùa yểm
Kết cỏ ngậm vành trả nghĩa tri ân…
Bước lạc loài, thất thểu dãi đường xuân
Tim giá buốt, bập bùng hâm trái ngực
Mặt trời tắt mầm cây nào rộn rực
Chim rũ cành, hoa nhạt sắc, hương hoai
Nghe rất nhiều lời giãi tỏ lòng ai
Chữ thủy chung chỉ còn trong sách thánh
Bao mĩ miều hoang mê vùng ảo ảnh
Biết đâu rằng vàng lóa mắt người say
Mộ tình yêu xây đắp giữa đông này
Xếp các câu thơ dày trang cổ tích
Đổi thầm lặng, u minh cùng tĩnh mịch
Lấy nắng bình yên cuối dốc trần gian
Thắp nén nhang ngưỡng làn khói dần tan
Lòng nguyện cầu tâm hồn vui, tĩnh tại
Người đẹp đường duyên - hằng mong mê mải
Thỏa ngọt tình trả được nợ cưu mang!
Nguyễn Văn Thái
27-11-2022/4127",Thơ thiên nhiên
BÓNG BỂ SẦU ĐÔNG,"Bể sầu đông vớt trăng non gọi
Lẻ bóng dã tràng xe tang thương
Vô danh nghĩa sĩ mồ hoang khói
Mây trắng quê nghèo tóc mẹ sương
Một lần chung chuyến đò thơ dại
Trăm năm hôn bóng gió dư hương
Bèo nước chiêm bao sao chưa lại
Thuyền tình sao lạc bến văn chương
Bóng nhớ bóng thương bồng bong bóng
Lưu lạc trần ai tay trắng mơ
Đào nguyên xuân muộn hồng ân cõng
Qua cầu dâu bể bóng ngây thơ
Mười hai bến nước đau lòng đất
Núi lửa tro tàn bom đạn tan
Đường hầm nước đá hoa trôi mất
Bóng khóc bóng cười bóng thở than
Bể sầu đông đá trăng sao tủi
Lẻ bóng dã tràng đứt bóng thương
Anh hùng nghĩa sĩ hồn sông núi
Mây trắng quê nghèo mẹ nắng sương...
MD.05/03/13
LuânTâm",Thơ thiên nhiên
