title,content,Category
ĐÓA HỒNG XANH,"Trời xui chân lạc rừng mơ
Tôi em cùng hái nụ thơ ươm tình
Hạ sang nở đóa hồng xanh
Tỏa hương thơm giữa yên lành trần gian
Vô thường, dâu bể, hợp tan
Tình chung đủ sắc nồng nàn thế nhân
Mặn nồng một thuở tình chân
Men ghen ủ nẫu rượu nhuần nhụy yêu
Hồng xanh thuở được yêu chiều
Phiêu diêu mây gió mắt diều lịm say
Tàn thu rũ cánh hoa gầy
Lá vàng gửi đất, hương bay về trời
Chửa đông đã nát… bèo trôi
Bùa yêu nào yểm vàng mười được đâu
Không dao kéo đụng, hồn đau
Heo may phảng phất trên đầu bâng khuâng…
Nguyễn Văn Thái
11-12-2022/4144",Thơ tình
MƠ YÊU,"Hỡi em cô gái chưa lần thấy
Trong mộng đêm nào… như gặp qua
Tóc mây chen giữa bờ vai nhỏ
Tỉnh giấc tôi nằm mộng gối hoa
Hỡi em cô gái tôi vừa mộng
Mai nếu gặp nhau giữa phố đông
Nhìn tôi như những người xa lạ
Đâu biết rằng tôi… đã phải lòng
Hỡi người trong giấc mơ tôi thấy
Cô có bao giờ thương nhớ ai
Có mơ mộng buổi hoàng hôn tím
Có lúc bâng khuâng… nếu một ngay
Hỡi cô em đã đi vào mộng
Mai lỡ tôi buồn có ghé thăm
Tương tư trở giấc dường như thấy
Một cánh hoa yêu nở lặng thầm
Calgary, Tuyết đầu đông 2024",Thơ tình
MIỀN NHỚ!,"Ước hẹn cùng em dệt đường tơ
Thu về sóng sánh nhặt lá chờ
Gói ghém mùa thương trong miền nhớ
Ôm cả đôi bờ bến sông mơ
Người đã quên rồi thuở ban sơ
Lời yêu tha thiết chẳng bến bờ
Bao mùa thay lá mùa thay lá 
Ngỏ hồn vò võ đến ngẩn ngơ!
Một nửa vầng trăng khuyết đợi chờ
Lối về hoa đỏ quyện vào thơ
Mỗi mùa xa vắng là nhung nhớ
Em đợi tình thu đến bao giờ!
  Hồng Lĩnh",Thơ tình
NHỚ,"Anh chợt nhớ niềm vui vừa qua ngõ
hồn như thơ trân trọng dáng em gầy
hương ngày ấy còn lưu trong trí nhớ
tiếng em cười còn vang vọng quanh đây
  Niềm âu yếm khí nắng vàng mở cửa
ngày thênh thang thương nhớ gọi nhau về
em rạng rỡ nụ cười vui trước gió
lòng hân hoan đón nhận những đam mê
  Yêu em lắm như mặt trời yêu quả đất
lòng thiện lành nhật nguyệt sẽ yêu thương
ngày sẽ thắp mặt trời soi ánh sáng
có tình anh thong thả giữa đời thường
  Ngã Du Tử/ SG
  Bài NHỚ này được Võ thị Như Mai  dịch sang tiếng Anh. 
NHỚ",Thơ tình
KHI MÔ ANH VỀ HUẾ,"Nhớ bữa mô anh về chơi Huế
Bên ni sông Hương ngó qua bên nớ
Có chi mô mà anh thương anh nhớ
Em biết bây chừ anh thương đóa trà mi
Chừ em biết em mần răng anh hí
Gió bên ni nắng bên nớ cũng thương anh
Kinh thành có chi mà mơ màng nhã nhạc
Áo Đông Ba nhuộm chiều tím câu hò
Mơ khi mô anh lại về thăm Huế
Anh mơ răng em dạ rứa anh vui
Mái chèo nhẹ ngang qua thôn Vỹ Dạ
Bớ Hương giang em mắt biếc tình quê
Có chi mô anh mà em thương tới rứa
Đập Đá sớm ni thuyền đợi bến trưa
Nón bài thơ trên tay lay lời hứa
Ngã ba Sình nắng Huế đắm vì yêu...",Thơ tình
XIN ĐỪNG YÊU EM …,"( Tặng một người)
Xin  đừng yêu em,
bằng tình yêu tròn đầy đến thế !
Với anh, em không còn trẻ -
Từng qua ngã rẽ, lần  đò…
Đừng yêu những vần thơ,
để rồi thương thầm người viết.
Mà quên đi điều  hơn thiệt
So đo, toan tính đời thường…
Hai mươi năm yêu thương,
em dành cho người  chồng cũ.
Trái tim  rớm máu  ấy có  còn đủ ,
góc  lành lặn  cho người mới không?
Thôi! Đừng bận lòng…
khi thấy em long đong vất vả.
Cố đứng vững  để không  gục ngã,
Trước cạm bẫy cuộc đời….
Em khô héo đôi môi,
không còn khao khát nữa.
Lòng  cũng nguội tắt lửa,
cạn  kiệt những đam mê…
Loay hoay giữa bộn bề,
núi lo toan cứ cao chất ngất .
Tủi buồn, khổ đau khâm liệm, gói chặt-
Chôn sâu góc khuất, lòng  mình.
Trái tim em chẳng còn nguyên trinh,
Trong đổ  vỡ, tìm yên bình sót lại.
Mi ngoan khép nỗi buồn thời con gái
Gót son trần  mềm mại, giờ  đã xưa …
Em chẳng còn gì, ngoài những xót chua ,
môi nhợt sắc. Chỉ dư  thừa buồn khổ .
Tất cả còn lại sau lần vỡ đổ :
- Một con tim khép cửa, trốn yêu  thương!
Vũ Thương Giang",Thơ tình
BIỂN VÀ EM,"Trước mặt ta là biển,
Biển bao la như tình mẹ,
Sóng dạt dào như lời em.
Ngàn dặm gió đưa ta về với biển,
Sa mạc hoang vu ấp ủ câu thơ vàng,
Em nhung gấm ẩn sau màu thánh thiện,
Chờ đợi ta muôn kiếp vọng cung đàn.
Hình như có một bàn tay tài hoa,
Nâng bàn tay của Beethoven,
lướt qua “cung đàn định mệnh”,
Hình như em đã cứu rỗi linh hồn anh,
đằm thắm và mơ màng.
Đêm nay,
Chiếc xe hoa chỉ có hai người,
Đi cùng Thượng đế về phía địa đàng,
Lướt vào bầu trời sao thăm thẳm,
Ánh sao vạn dặm, lấp lánh cùng em.
Em đã âm thầm trao anh cánh hoa màu trái tim,
Nhưng ta, một gã khờ, không nhận,
Mất em,
Tim ta đau giữa lòng biển mặn,
Lại hát với biển rằng ta yêu em…
SG , 20-10-24",Thơ tình
MƯA NHỚ MẸ,"Về mái nhà xưa - lúc giữa mưa
Lạnh thấu lòng con - nhớ sao vừa!
Dường bóng Mẹ ngồi nơi bậc cửa
Mong dáng con về - dưới cơn mưa.
Hồi đó , con còn quá ngây thơ
Đội những cơn mưa như kẻ khờ
Về nhà Mẹ bảo: Sao lại thế?
Ướt! Bệnh ! quay đầu - lệ Mẹ rơi.
Có những ngày mưa - gió mịt mùng
Mẹ đứng chờ con - đôi chân run
Đếm từng giọt mưa - lòng nôn nóng
Con có bình an giữa bão bùng?
Con cứ ngây ngô - sống sâu - nông
Nào hiểu được đâu: Mẹ hết lòng
Thương, lo, chăm sóc cho con cháu
Không quản thân già - chẳng kể công.
Cơn mưa chiều nay - kí ức về
Thẩm thấu lòng con - dạ tái tê
Ước được thấy Mẹ dù một thoáng
Cũng đủ ấm lòng - buổi nhiêu khê.",Thơ tình
ĐÔI KHI... CHỢT NHỚ,"Đôi khi trong giấc mơ ta thấy
Một buổi xuân về thăm cố hương
Dưới hàng me rậm che trưa nắng
Nhìn bóng người, xe khoác bụi đường
Đôi khi ta nhớ người năm cũ
E lệ nhìn nhau buổi hẹn đầu
Sài Gòn và những thơ ngây đó
Những ước vọng giờ trôi mãi đâu
Đôi khi trên lối về lá rụng
Chợt nhớ một mùa thu đã qua
Dáng em và khoảng trời thơ mộng
Theo gió đông buồn trôi rất xa
Đôi khi ta ước làm mây trắng
Lơ lửng tìm em khắp thế gian
Xếp từng thương nhớ lên vầng trán
Lặng lẽ nhìn quanh... lá rụng vàng",Thơ tình
NGƯỜI TÌNH MẤT TÊN,"Lâu lắm không về thăm xóm nhỏ
Từ ngày giã biệt lửa binh đao
Cô gái Hiệp Hòa sông Vàm Cỏ
Dòng nước bơ vơ gợn sóng chào
  Cây si rũ lá hiu hắt nhớ
Hoa yêu thầm nở hiện trong mơ
Đêm đêm thức giấc tình dang dở
Ủ bóng thời gian gối điệp chờ
  Em ở nơi nào em có biết?
Đời anh lưu lạc chốn phong ba
Hương xưa phảng phất tình tha thiết
Ấp ủ tương tư giữ đậm đà
  Tháng năm cách biệt chưa gặp lại
Nụ hoa yêu nhỏ tuổi xuân thề
Thời gian bay bỗng tên đà mất
Mây đen che chắn lối chân về !
  Trương Hiếu
Norway 12.07/2024",Thơ tình
