title,content,Category
GIỮ NÉT CHÂN QUÊ,"Ai cũng có một miền quê để nhớ
Nơi chôn nhau cắt rốn thuở lọt lòng
Nơi tìm về lúc đời gặp bão giông
Nơi tá túc xác thân khi nằm xuống.
  Quê hương không chỉ bờ đê, vuông ruộng
Là hàng cau quấn quýt lấy dây trầu
Là con sông dào dạt chảy qua cầu
Là tiếng mẹ ầu ơ bên cánh võng.
  Quê hương còn là con người sống động
Tuy tân thời vẫn giữ nét chân quê
Áo bà ba, chân đất , chạy đường đê
Hoà nhập không hòa tan trong văn hóa.
  Bắt gặp quê giữa một khung trời lạ
Thầm cảm ơn người giải mã chữ quê
Dẫu thành đô cuộc sống thật bộn bề
Chung thủy với bóng quê hương xưa cũ.
  Đất nước đã chuyển mình thay áo cũ
Dù xa rồi lam lũ của nghề nông
Là người con nơi làng mạc ruộng đồng
Vẫn giữ mãi chân quê - không mất gốc.
  PEARL",Thơ đất nước
KẺ LƯU ĐÀY TRÊN QUÊ HƯƠNG,"Đường xa nghĩ nỗi sau này mà kinh
Ta ở phương nam mưa lập hạ
nhớ bắc phương, nhớ mọc thành rừng
trông chớp bể nhập hồn đồng mụ
nghe sấm truyền kinh ngọn gió rung.
Bốn mươi năm ta - tên biệt xứ
bốn mươi năm mộng dữ, giờ thiêng
cá chậu chim lồng nhốt lịch sử
mảnh da sợi tóc bạc hoa niên.
Ta cảm ơn đời, ta sống sót
dẫu cho vàng đá cũng ô danh
môi câm ngực nín dòng hư thực
trải gan giãi mật chữ vô tình.
Ký ức mang ta về đất cũ
người ơi, im bặt tiếng trăm năm
thời gian như bóng ma ngồi mộ
thân xiêu hồn xõa khóc thầm trăng.
Nén hương cháy hắt hiu đời trước
ngọn nến chong vĩnh biệt đời sau
giấc ngủ ước mơ nào vuốt mắt
đất chìm nước nổi bãi xanh dâu.
Cám ơn, người phá ngôi đền họ
cướp nhà ta đất khói hương này
đòi nợ sống, đòi da người chết
hồn oan về quanh quất đâu đây.
Ta đã sống khác gì thú vật
trả sưu thân, trả thuế linh hồn
ta đã sống núi tù, sông trảm
bêu bình minh phơi xác hoàng hôn.
Ngày đi, ta áo chàm mặt nhọ
triện móng chân lừa thích trên lưng
ngày đi ta đồng hoang gió hú
bèo mây ơi, hẹn trước thăng trầm.
Ta đi chân đất tre ngoài ngõ
cành vẫy chào lá thốt tiễn đưa
ta đi sao thức đêm không ngủ
những xương khô bật dậy trong mồ.
Ta đi trăng huyết ràn rụa máu
tối đất oan khiên, đỏ hận thù
này các em ta lời đã cạn
hãy thề như, mẹ chẳng sinh ra.
Bốn mươi năm lạc phương trời khách
vẫn như chung chia nỗi đọa đày
lời thề cũ mừng khi gặp mặt
sao lạnh lùng đau thủa chia tay?
Bốn mươi năm mơ về cố quận
thần trí soi tỏ mặt mỗi nhà
người cũ mất, trẻ già đi vội
lớp lớn mòn, nhỏ mới sinh ra.
Quê nhà ta, ngôi mồ chôn sống
ta ném lên hòn đất sao đành
nước mắt giải oan thời vô vọng
cho người sống dở, chết đi nhanh.
Ta cúi hôn lên từng ngọn cỏ
kinh hoàng, cát bụi dưới chân ta
cỏ thêu chiếc áo tà dương cũ
khoác bóng ngàn năm dấu bụi mờ.
Ta mong như, nỗi mong ngoài cửa
lá báo tin thu chết vội vàng
con én bay suốt mùa di trú
chút lòng ta băng kín đông, tan.
Ta mong ta, gió giam đầu núi
hạ đi đày mưa tủi qua sông
mùa xuân ơi xanh trời trăn trối
cánh đào rơi như giọt máu đông.
Lịch sử ta bốn nghìn năm thật
sau bốn nghìn năm giả một ngày
một ngày cho người sau kẻ trước
ách bần cùng lũ lượt qua đây.
Đồng trụ chiết, rung chiều cổ độ
sóng Bạch Đằng mấy lớp sông ngăn
vó ngựa sắt tung mù thư sử
quê nhà ơi ngoại thuộc, ai dâng?
Máu đá trăm năm xương bạch nhật
về nơi hoa hạnh cố nhân này
đêm ta chết đứng thù truyền kiếp
ngày còn tanh vết cắt phân thây.
Về ư? ví còn nơi về được
ví ta quên hết chuyện đau lòng
xin làm con dế mèn hóa kiếp
chốn bụi bờ cất tiếng hát rong.
Quê hương ơi, nhận giùm sợi tóc
tình yêu ta - chuộc thế gian này.
Sài Gòn 1955 - 1995",Thơ đất nước
LÀNG QUÊ TÔI,"Sân đình xào xạc cành bàng.
Thu tàn đông chớm lá vàng tả tơi
Mưa giăng giăng kín bầu trời.
Mây đen chùng thấp rã rời lang thang.
Trên con đường đất đê làng .
Trâu  đi chậm rải một đàn khoan thai .
Nụ hoa điểm những cành mai.
Chuông chùa bên hoái ( sông nhỏ) ngân dài cầu kinh.
Cổ xưa am- miếu lặng thinh.
Đền - đài cũ kỷ , tượng- hình rêu phong .
Mái trường từ thuở vở lòng ( mẫu giáo) .
Ê - a con chữ từng dòng làm quen.
Vài con vịt tắm hồ sen.
Bầy chim se sẻ ở ven lưng đồi.
Lục bình theo nước nhẹ trôi .
Lướt bay cánh én xa xôi tìm đàn .
Ngôi nhà thờ cổ họ hàng.
Thâm nâu ngói liệt , mơ màng khói sương.
Bàn thờ tiên tổ từ đường.
Hương linh sáng rạng trầm hương ngạt ngào .
Giáo đường thánh giá trên cao .
Nhân từ bác ái , dạt dào tình thương.
Nơi đây là chốn tựa nương.
Tinh thần hướng thượng , thiện lương làm người.
Những chậu cây cảnh ngoài cươi ( sân) .
Khoe trong nắng mới xinh tươi cúc vàng.
Trên giàn những đóa phong lan .
Lung lay ẻo lả như nàng vũ công .
Cánh cò chao nước mênh mông .
Lúa thơm ươm chín cánh đồng bao la.
Võng nôi ru những câu ca .
À ơi con thét ( ngủ) mẹ ra nương vườn.
Ba cất rớ cá ngoài mương .
Bữa ăn đầy ắp tình thương gia đình.
Vạc kêu sương sớm bình minh.
Bếp lên ánh sáng bập bùng lửa rơm
Khói bốc nghi ngút nồi cơm.
Quyện bay theo gió mùi thơm dưa cà .
Hàng tre trĩu gió la đà .
Đua nhau gáy sáng tiếng gà thâu canh.
Vây quanh luống cải mành mành ( rào gà phá )
Rơi trong hồ nước một vành trăng non .
Nên thơ một mảnh cô thôn .
Quê làng tôi đó giữ hồn Việt Nam.
Võ  Thời 8 - 12 - 2022 .",Thơ đất nước
QUÊ HƯƠNG ƠI!ĐỨNG LẠI ĐỢI TA VỀ...,"Trong tiếng lặng thời gian vừa gỏ cửa
Giọt nắng chiều tắt lửa nhốt hoàng hôn
Dòng sông rượu chảy hoài cơn khát nước
Say đến cùng..đến tận ..giọt quê hương..
Bông tuyết trắng mơ vàng ươm lúa chín
Ngày phù sa nuôi nấng tháng cơm đầy
Ta được lớn bởi lời ru nho nhỏ
Đươc mẹ bồng che chở ngọn heo may..
Nước ơi nước đợi ta về với..nước!
Bao năm rồi ao ước bóng trăng soi
Đêm bỏ biển mặn mòi thân vong quốc
An ủi đời nhịp võng ..thuở nằm nôi..
Ta bội bạc quê hương già năm tháng
Tuổi thời gian nước mắt trẻ nhạt nhòa
Khoang dừng bước,để nổi buồn hóa đá
Mai ta về mớm lại ..hạt phù sa
Cao gót Ngọc",Thơ đất nước
QUÊ HƯƠNG GIẢ ĐỊNH,"từ tháng tư một chín bẩy năm
người Việt đều cùng bị mất hết
miền của tôi không còn quốc gia
miền của bạn tiêu tan lý tưởng
 
người đã bỏ tổ quốc ra đi
kẻ trốn quốc gia bằng mọi cách
phần đất mang địa danh Việt Nam
chỉ còn là tên của địa đồ
 
những con thuyền bé tí cỏn con
chất đầy người cùng nhau chạy trốn
bao nhiêu phần trăm đến được đích
tỉ số nhỏ, đau xót làm sao
 
vượt thoát được khỏi “ thiên đường “ mù
bằng con đường xuất khẩu lao động
bố mẹ cấm nhà bán đất tổ tiên
cho con du học, dặn đừng về
 
con người khi chẩy khô hết máu
khi đất nước kiệt kệ tài nguyên
làm sao tồn tại hoặc sống còn
dù có mấy ngàn năm lịch sử
 
đất nước tôi hình như chữ S
thời ông cha nghĩ là chữ Sướng
để cháu con được hưởng đời đời
nhưng đến nay biến thành chốn Sợ
 
tản mát đến bốn châu năm bể
tá túc trong lòng xứ của người
vẫn mang trong tim một quê hương
để giòng máu Việt vẫn mãi chẩy
 
chuyện buồn của những người xa xứ
còn quê hương mà chẳng trở về
có tiếng mình mà dùng ngoại ngữ
chỉ còn “quê hương giả định” thôi!  (putative country)
Nguyễn Trung",Thơ đất nước
HOÀI-NIỆM MỘT QUÊ HƯƠNG,"Chốn xa vời ... thương nhớ tới nơi xưa
Quê-hương đầy êm-ấm
Mái nhà tranh bên sông dòng nước biếc
Lung-linh xuôi lững-lờ
 
Đầu năm mới... mưa rơi rắc dầm xuân
Co-ro bên lửa ấm
Cánh cò ơi ! phương xa nào bay tới
Trên sông rực trắng dòng
 
Hè mau tới...  tia nắng chói về đây
Vàng bông đồng lúa chín
Bác nhà nông luôn tay mùa gặt hái
Lúa vun cho đầy bồ
Vài con muỗm cho con còn trong túi
Nướng lửa rơm cho hương quê đượm thắm mùi
 
Mùa thu đến... trông theo lá bàng rơi
Bay lăn đỏ đường Mười
Rằm  trăng sáng nghiêng soi góc ngọn đa
Nghe kinh chùa cổ xưa
 
Mùa nước lớn dân tứ xứ về đây
Xem hội hè tháng tám
Những chàng trai thi bơi cùng ra sức
Trên sông trải mái dầm
 
Đời thơ ấu qua đi mất còn đâu
Quê hương tràn chinh-chiến
Mái trường xưa hoang sơ đường văn-hoá
Dọc ngang là chiến hào
 
Làng tôi đó tan hoang đã từ lâu
Trong tâm còn ghi mãi
Để hồn tôi Thương thương và nhớ nhớ
Xa xưa một thuở nào !
 
RĐinh",Thơ đất nước
QUÊ TÔI,"Quê tôi đẹp lắm, người ơi!
Bên dòng sông nước muôn đời không quên
Con thuyền sóng nước lênh đênh
Không bờ không bến mông mênh vô vàn
Gió đưa vẳng tiếng tơ vàng
Vọng vào tâm trí như vang ngân hoài.
Đồng quê thẳng cánh cò bay
Ruộng xanh lúa mướt là tài nông gia
Vừa làm vừa cất tiếng ca
Sớm mai cho đến chiều tà chăm chuyên
Câu cười giọng nói huyên thuyên
Càng vui cầy cấy càng chuyên cần nhiều.
Khi trời đã xế về chiều
Rung rinh sóng lúa mỹ miều hây hây
Mặt rời dần khuất sau mây
Hoàng hôn phủ xuống bao vây xóm làng
Rặng tre vi vút reo vang
Nơi đầu con ngõ thẳng hàng cây cau
Xa xa núi thẳm in mầu
Có đàn cò trắng bay mau về nhà.
Đường về rộn tiếng hoan ca
Lưng trâu mục tử la đà ngắm trăng.
Cụ già đầu bạc trán nhăn
Mệt nhưng vẫn bước phăng phăng về nhà.
Chuông chiều nhè nhẹ ngân nga
Hòa cùng với gió tà tà không gian
Quê tôi đầm ấm vô vàn
Khi nhìn trăng sáng bên hàng dậu thưa
Yêu thương biết mấy cho vừa
Đu đưa tầu lá hương dừa tỏa bay
Không gian tịch mịch êm thay
Lặng nghe vọng tiếng hò đầy yêu thương
À ơi, con ngủ bình thường
Mẹ cưng, mẹ bế, mẹ thương con mà…
Tình quê thắm đượm chan hòa
Dân quê chất phác thật thà nên thơ.
Nhưng quê tôi đã xa mờ
Bên kia sóng nước, bên bờ đại dương
Xa quê biết mấy năm trường?
Lòng tôi nhớ nhớ thương thương u hoài
Nhớ từ ánh mắt nụ cười
Bao giờ lại gặp những người thân yêu?
Càng xa càng nhớ thương nhiều
Mong sao một sớm một chiều bình an
Cho người lữ thứ tha hương
Trở về vui với xóm làng Việt Nam.
-          Ngọc Thử, Xuân Đinh Sửu (1997)",Thơ đất nước
MỖI NĂM MONG ĐƯỢC MỘT LẦN THĂM QUÊ,"Ngày bé, cuối năm là mong tết
Chỉ mong thôi, có biết gì đâu.
Để rồi mấy chục năm sau,
Xa quê mới nhớ ngày đầu bước đi.

Hồi tưởng lại những khi xa vắng
Chiều ba mươi cũng chẳng được về.
Chiến tranh anh phải xa quê
Chẳng còn sum họp, giao thừa đón xuân.

Theo nhịp bước hành quân trăm ngả,
Bao vùng quê anh đã từng qua.
Hôm nay anh trở lại nhà,
Hòa vào ngày Hội làng ta giữa đình.

Trên sân khấu, lung linh tỏa sáng
Đón xuân về mặt rạng mừng vui.
Đã qua mấy chục năm rồi
Hôm nay anh lại được ngồi giữa quê.

Chuyện ríu rít nhớ về thuở trước
Cứ hiện ra giữa cuộc Hội xuân.
Anh đi xa vẫn thấy gần
Mỗi năm mong được một lần thăm quê.
NGUYỄN VĂN PHÚ
Paris tháng 12/2023",Thơ đất nước
NHÀ QUÊ,"Giờ là tháng giá ngày đông,
Mình tôi thơ thẩn cánh đồng nhà quê
Ngày xưa âm ỉ gọi về,
Bơ phờ gốc rạ tái tê ráng chiều,

Đâu rồi bóng mẹ cô liêu
Đâu rồi giàn mướp đổ xiêu cuối mùa
Đâu mùi cà nén chua chua
Đâu là đống rấm khói lùa thơm lan.

Đắm chìm ký ức miên man
Ồ bông hoa đỏ giậu tàn chói lên...",Thơ đất nước
THÀNH PHỐ QUÊ TÔI RẤT LẠ,"Thành phố gì - kỳ lạ quá đi thôi
Có những phiên chợ đổi trao bằng lá
Người mua kẻ bán không hề mặc cả
Hàng trao tay - rôm rả tiếng cười vang.

Thành phố gì - mà lắm tấm lòng vàng
Nước miễn phí phân phát người qua lại
Cơm từ thiện len lỏi vào sân bãi
Bệnh viện, bến xe - ấm áp tình người.

Thành phố gì - kỳ lạ đến bất ngờ
Siêu thị không đồng gọi mời nồng nhiệt
ATM gạo càng thêm thân thiết
Mùa dịch qua rồi - da diết nhớ về.

Thành phố gì - tình thương chảy tràn trề
Đẫm manh áo - nắm gạo về vùng núi
Tiền trao tay - người miền Trung mừng tủi
Lòng bác ái - vỗ lên tiếng chuông ngân.

Thành phố quê tôi - viên ngọc trong ngần
Tự tỏa sáng sau những lần kỳ lạ
Tôi yêu quá quê tôi - dù rất lạ
Xa - nhớ về bóng quê đã cài tim.

PEARL",Thơ đất nước
